UNIQUE_ID,State_Name,State_Abbrev,Date,Latitude,Longitude,Population,Act_Total_Cases,Act_Total_Deaths_Pct_Pop,Act_Total_Deaths_Per_Million,Act_Total_Deaths,Act_New_Cases,Act_New_Deaths,Est_Total_Deaths,Est_New_Cases,Estimated_New_Deaths,Ranking_ATDPM
Alaska_43891,Alaska,AK,2020-03-01,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,3,0,8
Alaska_43892,Alaska,AK,2020-03-02,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,5,0,8
Alaska_43893,Alaska,AK,2020-03-03,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,7,0,8
Alaska_43894,Alaska,AK,2020-03-04,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,10,0,8
Alaska_43895,Alaska,AK,2020-03-05,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,15,0,8
Alaska_43896,Alaska,AK,2020-03-06,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,21,0,8
Alaska_43897,Alaska,AK,2020-03-07,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,28,0,8
Alaska_43898,Alaska,AK,2020-03-08,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,37,0,8
Alaska_43899,Alaska,AK,2020-03-09,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,46,0,8
Alaska_43900,Alaska,AK,2020-03-10,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,55,0,8
Alaska_43901,Alaska,AK,2020-03-11,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,64,0,8
Alaska_43902,Alaska,AK,2020-03-12,66.16,-153.37,734002,0,0.0000,0.00,0,0,0,0,73,0,8
Alaska_43903,Alaska,AK,2020-03-13,66.16,-153.37,734002,1,0.0000,0.00,0,1,0,0,79,0,8
Alaska_43904,Alaska,AK,2020-03-14,66.16,-153.37,734002,1,0.0000,0.00,0,0,0,0,84,0,8
Alaska_43905,Alaska,AK,2020-03-15,66.16,-153.37,734002,1,0.0000,0.00,0,0,0,0,87,0,8
Alaska_43906,Alaska,AK,2020-03-16,66.16,-153.37,734002,1,0.0000,0.00,0,0,0,0,87,0,8
Alaska_43907,Alaska,AK,2020-03-17,66.16,-153.37,734002,3,0.0000,0.00,0,2,0,0,85,0,8
Alaska_43908,Alaska,AK,2020-03-18,66.16,-153.37,734002,5,0.0000,0.00,0,2,0,0,82,0,8
Alaska_43909,Alaska,AK,2020-03-19,66.16,-153.37,734002,8,0.0000,0.00,0,3,0,0,77,0,8
Alaska_43910,Alaska,AK,2020-03-20,66.16,-153.37,734002,11,0.0000,0.00,0,3,0,0,71,0,8
Alaska_43911,Alaska,AK,2020-03-21,66.16,-153.37,734002,13,0.0000,0.00,0,2,0,0,64,0,8
Alaska_43912,Alaska,AK,2020-03-22,66.16,-153.37,734002,18,0.0000,0.00,0,5,0,0,57,0,8
Alaska_43913,Alaska,AK,2020-03-23,66.16,-153.37,734002,30,0.0000,0.00,0,12,0,0,50,0,8
Alaska_43914,Alaska,AK,2020-03-24,66.16,-153.37,734002,34,0.0000,0.00,0,4,0,0,44,0,8
Alaska_43915,Alaska,AK,2020-03-25,66.16,-153.37,734002,41,0.0000,0.00,0,7,0,0,37,0,8
Alaska_43916,Alaska,AK,2020-03-26,66.16,-153.37,734002,56,0.0000,0.00,0,15,0,1,32,0,8
Alaska_43917,Alaska,AK,2020-03-27,66.16,-153.37,734002,58,0.0000,0.00,0,2,0,1,27,0,8
Alaska_43918,Alaska,AK,2020-03-28,66.16,-153.37,734002,85,0.0000,1.36,1,27,1,1,23,0,8
Alaska_43919,Alaska,AK,2020-03-29,66.16,-153.37,734002,102,0.0000,1.36,1,17,0,2,19,0,8
Alaska_43920,Alaska,AK,2020-03-30,66.16,-153.37,734002,114,0.0000,1.36,1,12,0,2,17,0,8
Alaska_43921,Alaska,AK,2020-03-31,66.16,-153.37,734002,119,0.0000,1.36,1,5,0,3,14,0,8
Alaska_43922,Alaska,AK,2020-04-01,66.16,-153.37,734002,132,0.0000,1.36,1,13,0,3,12,1,8
Alaska_43923,Alaska,AK,2020-04-02,66.16,-153.37,734002,143,0.0000,1.36,1,11,0,4,11,1,8
Alaska_43924,Alaska,AK,2020-04-03,66.16,-153.37,734002,157,0.0000,4.09,3,14,2,4,10,1,8
Alaska_43925,Alaska,AK,2020-04-04,66.16,-153.37,734002,171,0.0000,4.09,3,14,0,5,9,1,8
Alaska_43926,Alaska,AK,2020-04-05,66.16,-153.37,734002,185,0.0000,4.09,3,14,0,5,9,1,8
Alaska_43927,Alaska,AK,2020-04-06,66.16,-153.37,734002,190,0.0000,1.36,1,5,-2,6,8,0,8
Alaska_43928,Alaska,AK,2020-04-07,66.16,-153.37,734002,213,0.0000,13.62,10,23,9,6,8,0,8
Alaska_43929,Alaska,AK,2020-04-08,66.16,-153.37,734002,226,0.0000,16.35,12,13,2,7,8,0,8
Alaska_43930,Alaska,AK,2020-04-09,66.16,-153.37,734002,235,0.0000,16.35,12,9,0,7,8,0,8
Alaska_43931,Alaska,AK,2020-04-10,66.16,-153.37,734002,246,0.0000,17.71,13,11,1,7,9,0,8
Alaska_43932,Alaska,AK,2020-04-11,66.16,-153.37,734002,257,0.0000,17.71,13,11,0,8,9,0,8
Alaska_43933,Alaska,AK,2020-04-12,66.16,-153.37,734002,272,0.0000,17.71,13,15,0,8,9,0,8
Alaska_43934,Alaska,AK,2020-04-13,66.16,-153.37,734002,277,0.0000,17.71,13,5,0,8,8,0,8
Alaska_43935,Alaska,AK,2020-04-14,66.16,-153.37,734002,285,0.0000,23.16,17,8,4,8,8,0,8
Alaska_43936,Alaska,AK,2020-04-15,66.16,-153.37,734002,293,0.0000,23.16,17,8,0,8,8,0,8
Alaska_43937,Alaska,AK,2020-04-16,66.16,-153.37,734002,300,0.0000,23.16,17,7,0,8,8,0,8
Alaska_43938,Alaska,AK,2020-04-17,66.16,-153.37,734002,309,0.0000,24.52,18,9,1,9,7,0,8
Alaska_43939,Alaska,AK,2020-04-18,66.16,-153.37,734002,314,0.0000,24.52,18,5,0,9,7,0,8
Alaska_43940,Alaska,AK,2020-04-19,66.16,-153.37,734002,319,0.0000,24.52,18,5,0,9,7,0,8
Alaska_43941,Alaska,AK,2020-04-20,66.16,-153.37,734002,321,0.0000,24.52,18,2,0,9,6,0,8
Alaska_43942,Alaska,AK,2020-04-21,66.16,-153.37,734002,329,0.0000,24.52,18,8,0,9,6,0,8
Alaska_43943,Alaska,AK,2020-04-22,66.16,-153.37,734002,335,0.0000,24.52,18,6,0,9,6,0,8
Alaska_43944,Alaska,AK,2020-04-23,66.16,-153.37,734002,337,0.0000,25.89,19,2,1,9,5,0,8
Alaska_43945,Alaska,AK,2020-04-24,66.16,-153.37,734002,339,0.0000,27.25,20,2,1,9,5,0,8
Alaska_43946,Alaska,AK,2020-04-25,66.16,-153.37,734002,339,0.0000,27.25,20,0,0,9,4,0,8
Alaska_43947,Alaska,AK,2020-04-26,66.16,-153.37,734002,340,0.0000,27.25,20,1,0,9,4,0,8
Alaska_43948,Alaska,AK,2020-04-27,66.16,-153.37,734002,345,0.0000,27.25,20,5,0,9,4,0,8
Alaska_43949,Alaska,AK,2020-04-28,66.16,-153.37,734002,351,0.0000,28.61,21,6,1,9,3,0,8
Alaska_43950,Alaska,AK,2020-04-29,66.16,-153.37,734002,355,0.0000,28.61,21,4,0,9,3,0,8
Alaska_43951,Alaska,AK,2020-04-30,66.16,-153.37,734002,355,0.0000,28.61,21,0,0,9,3,0,8
Alaska_43952,Alaska,AK,2020-05-01,66.16,-153.37,734002,364,0.0000,34.06,25,9,4,9,3,0,8
Alaska_43953,Alaska,AK,2020-05-02,66.16,-153.37,734002,365,0.0000,34.06,25,1,0,9,3,0,8
Alaska_43954,Alaska,AK,2020-05-03,66.16,-153.37,734002,368,0.0000,34.06,25,3,0,9,3,0,8
Alaska_43955,Alaska,AK,2020-05-04,66.16,-153.37,734002,370,0.0000,34.06,25,2,0,9,2,0,8
Alaska_43956,Alaska,AK,2020-05-05,66.16,-153.37,734002,371,0.0000,34.06,25,1,0,10,2,0,8
Alaska_43957,Alaska,AK,2020-05-06,66.16,-153.37,734002,372,0.0000,35.42,26,1,1,10,2,0,8
Alaska_43958,Alaska,AK,2020-05-07,66.16,-153.37,734002,374,0.0000,35.42,26,2,0,10,2,0,8
Alaska_43959,Alaska,AK,2020-05-08,66.16,-153.37,734002,377,0.0000,35.42,26,3,0,10,2,0,8
Alaska_43960,Alaska,AK,2020-05-09,66.16,-153.37,734002,378,0.0000,35.42,26,1,0,10,2,0,8
Alaska_43961,Alaska,AK,2020-05-10,66.16,-153.37,734002,379,0.0000,35.42,26,1,0,10,2,0,8
Alaska_43962,Alaska,AK,2020-05-11,66.16,-153.37,734002,379,0.0000,35.42,26,0,0,10,2,0,8
Alaska_43963,Alaska,AK,2020-05-12,66.16,-153.37,734002,383,0.0000,35.42,26,4,0,10,2,0,8
Alaska_43964,Alaska,AK,2020-05-13,66.16,-153.37,734002,383,0.0000,35.42,26,0,0,10,1,0,8
Alaska_43965,Alaska,AK,2020-05-14,66.16,-153.37,734002,383,0.0000,36.78,27,0,1,10,1,0,8
Alaska_43966,Alaska,AK,2020-05-15,66.16,-153.37,734002,388,0.0000,38.15,28,5,1,10,1,0,8
Alaska_43967,Alaska,AK,2020-05-16,66.16,-153.37,734002,388,0.0000,38.15,28,0,0,10,1,0,8
Alaska_43968,Alaska,AK,2020-05-17,66.16,-153.37,734002,388,0.0000,39.51,29,0,1,10,1,0,8
Alaska_43969,Alaska,AK,2020-05-18,66.16,-153.37,734002,388,0.0000,40.87,30,0,1,10,1,0,8
Alaska_43970,Alaska,AK,2020-05-19,66.16,-153.37,734002,400,0.0000,42.23,31,12,1,10,1,0,8
Alaska_43971,Alaska,AK,2020-05-20,66.16,-153.37,734002,401,0.0000,44.96,33,1,2,10,1,0,8
Alaska_43972,Alaska,AK,2020-05-21,66.16,-153.37,734002,401,0.0000,44.96,33,0,0,10,1,0,8
Alaska_43973,Alaska,AK,2020-05-22,66.16,-153.37,734002,403,0.0000,46.32,34,2,1,10,1,0,8
Alaska_43974,Alaska,AK,2020-05-23,66.16,-153.37,734002,407,0.0000,46.32,34,4,0,10,1,0,8
Alaska_43975,Alaska,AK,2020-05-24,66.16,-153.37,734002,407,0.0000,46.32,34,0,0,10,1,0,8
Alaska_43976,Alaska,AK,2020-05-25,66.16,-153.37,734002,408,0.0000,47.68,35,1,1,10,1,0,8
Alaska_43977,Alaska,AK,2020-05-26,66.16,-153.37,734002,410,0.0000,47.68,35,2,0,10,1,0,8
Alaska_43978,Alaska,AK,2020-05-27,66.16,-153.37,734002,411,0.0000,39.51,29,1,-6,10,1,0,8
Alaska_43979,Alaska,AK,2020-05-28,66.16,-153.37,734002,424,0.0000,49.05,36,13,7,10,1,0,8
